time,actuationPowerWatt
10.52,-1.47364475513927
10.56,-1.64307563908547
10.5999999999999,-1.82330365444466
10.6399999999999,-2.01464398995316
10.6799999999999,-2.2173603726001
10.7199999999999,-2.43166688512561
10.7599999999999,-2.65772906004213
10.7999999999999,-2.89566428743139
10.8399999999999,-3.14554162333524
10.8799999999999,-3.4073811162044
10.9199999999999,-3.68115278269356
10.9599999999999,-3.96677536422221
10.9999999999999,-4.26411498565691
11.0399999999999,-4.572983820624
11.0799999999999,-4.89313884732051
11.1199999999999,-5.22428075667638
11.1599999999999,-5.5660530531332
11.1999999999999,-5.91804136835344
11.2399999999999,-6.27977299056998
11.2799999999999,-6.65071659733342
11.3199999999999,-7.03028216711579
11.3599999999999,-7.41782103538681
11.3999999999999,-7.81262605306399
11.4399999999999,-8.21393179925679
11.4799999999999,-8.62091479556774
11.5199999999999,-9.03269366547026
11.5599999999999,-9.44832917908399
11.5999999999999,-9.86682412066933
11.6399999999999,-10.287122913069
11.6799999999999,-10.7081109298807
11.7199999999999,-11.1286134221346
11.7599999999999,-11.5473939814967
11.7999999999999,-11.9631524563971
11.8399999999999,-12.3745222308839
11.8799999999999,-12.7800667684195
11.9199999999999,-13.1782753142793
11.9599999999999,-13.5675576408433
11.9999999999999,-13.9462377101535
12.0399999999999,-14.31254611815
12.0799999999999,-14.6646111757665
12.1199999999999,-15.000448474782
12.1599999999999,-15.3179487828024
12.1999999999999,-15.6148641146444
12.2399999999999,-15.8887918405725
12.2799999999999,-16.1371567207918
12.3199999999999,-16.357190808055
12.3599999999999,-16.5459112469447
12.3999999999999,-16.7000961340567
12.4399999999999,-16.816258807746
12.4799999999999,-16.8906212354665
12.5199999999999,-16.9190875946803
12.5599999999999,-16.8972197415307
12.5999999999999,-16.8202170790709
12.6399999999999,-16.6829044267708
12.6799999999999,-16.4797329037015
12.7199999999999,-16.2048005961217
12.7599999999999,-15.8519018615285
12.7999999999999,-15.4146164010846
12.8399999999999,-14.8864514155967
12.8799999999999,-14.2610516906077
12.9199999999999,-13.5324924226002
12.9599999999999,-12.6956666837014
12.9999999999999,-11.7467719808538
13.0399999999999,-10.6838867570103
13.0799999999999,-9.50760699554661
13.1199999999999,-8.22168628547781
13.1599999999999,-6.83359392283951
13.1999999999999,-5.35488293722332
13.2399999999999,-3.80125445362998
13.2799999999999,-2.19222718974115
13.3199999999999,-0.5503756098738
13.3599999999999,1.09981995138946
13.3999999999999,2.73338324619026
13.4399999999999,4.32632193910749
13.4799999999999,5.8569696873576
13.5199999999999,7.30701690305436
13.5599999999999,8.66212934728519
13.5999999999999,9.91213961141973
13.6399999999999,11.050869631455
13.6799999999999,12.0756864682306
13.7199999999999,12.9869057531974
13.7599999999999,13.7871446755416
13.7999999999999,14.4807005389148
13.8399999999999,15.0730020931252
13.8799999999999,15.5701558037438
13.9199999999999,15.9785909085214
13.9599999999999,16.3047957137951
13.9999999999999,16.5551318447683
14.0399999999999,16.7357113797142
14.0799999999999,16.8523224120778
14.1199999999999,16.9103904144462
14.1599999999999,16.9149650407
14.1999999999999,16.8707242390017
14.2399999999999,16.7819895296132
14.2799999999999,16.6527479433708
14.3199999999999,16.4866774158879
14.3599999999999,16.2871734258566
14.3999999999999,16.0573754044781
14.4399999999999,15.8001919793922
14.4799999999999,15.5183244973217
14.5199999999999,15.2142885340293
14.5599999999999,14.8904332791272
14.5999999999999,14.548958800699
14.6399999999999,14.1919312685635
14.6799999999999,13.8212962586053
14.7199999999999,13.438890283555
14.7599999999999,13.0464507048363
14.7999999999999,12.6456241804924
14.8399999999999,12.2379737991816
14.8799999999999,11.8249850421291
14.9199999999999,11.4080707053379
14.9599999999999,10.9885749043443
14.9999999999999,10.5677762740286
15.0399999999999,10.1468904668663
15.0799999999999,9.72707204476639
15.1199999999999,9.30941585238337
15.1599999999999,8.89495795352952
15.1999999999999,8.48467620698763
15.2399999999999,8.07949055354122
15.2799999999999,7.68026308223594
15.3199999999998,7.28779794058668
15.3599999999998,6.90284115041154
15.3999999999998,6.5260803879444
15.4399999999998,6.15814478353657
15.4799999999998,5.7996047922531
15.5199999999998,5.45097218161788
15.5599999999998,5.11270017624701
15.5999999999998,4.78518379072815
15.6399999999998,4.46876037147348
15.6799999999998,4.16371035510474
15.7199999999998,3.87025823507896
15.7599999999998,3.58857370982534
15.7999999999998,3.31877296506629
15.8399999999998,3.06092002110151
15.8799999999998,2.81502805404817
15.9199999999998,2.581060580354
15.9599999999998,2.35893237895704
15.9999999999998,2.148510018409
16.0399999999998,1.94961186059277
16.0799999999998,1.76200743178431
16.1199999999998,1.58541608860053
16.1599999999998,1.41950496242885
16.1999999999998,1.26388624080499
16.2399999999998,1.11811393466981
16.2799999999998,0.981680379963847
16.3199999999998,0.854012820667669
16.3599999999998,0.73447050532624
16.3999999999998,0.622342785833717
16.4399999999998,0.516848721714778
16.4799999999998,0.417138654195005
16.5199999999998,0.322298116547504
16.5599999999998,0.231354293007853
16.5999999999998,0.143285039532658
16.6399999999998,0.0570302560503532
16.6799999999998,-0.0284948218225847
16.7199999999998,-0.114385034366805
16.7599999999998,-0.201730168687483
16.7999999999998,-0.291600101572372
16.8399999999998,-0.385030998357563
16.8799999999998,-0.483013242520546
16.9199999999998,-0.586481596454067
16.9599999999998,-0.696307879306793
16.9999999999998,-0.813296221636044
17.0399999999998,-0.938180746773707
17.0799999999998,-1.07162535793162
17.1199999999998,-1.21422519275739
17.1599999999998,-1.36650924874062
17.1999999999998,-1.52894368053935
17.2399999999998,-1.70193531441622
17.2799999999998,-1.88583500214471
17.3199999999998,-2.08094053236252
17.3599999999998,-2.2874989178501
17.3999999999998,-2.50570797159404
17.4399999999998,-2.73571716507777
17.4799999999998,-2.97762782474173
17.5199999999998,-3.23149276567338
17.5599999999998,-3.49731548632879
17.5999999999998,-3.77504905696869
17.6399999999998,-4.06459483083231
17.6799999999998,-4.36580109438502
17.7199999999998,-4.67846175455696
17.7599999999998,-5.00231513955423
17.7999999999998,-5.33704296778042
17.8399999999998,-5.68226951825701
17.8799999999998,-6.0375610167056
17.9199999999998,-6.40242523471798
17.9599999999998,-6.77631128538279
17.9999999999998,-7.15860958728806
18.0399999999998,-7.5486519597273
18.0799999999998,-7.94571180484262
18.1199999999998,-8.34900432694785
18.1599999999998,-8.75768673496281
18.1999999999998,-9.17085837037081
18.2399999999998,-9.58756070001283
